Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
3,1,4,1,7.835102979,4.33936051
3,1,1,1,7.836833049,4.309193816
3,1,2,100,9.965784285,5.066154451
4,0,4,20,7.958239493,5.096536076
4,0,1,20,7.958239493,5.096536076
4,0,2,20,7.958239493,5.096536076
4,0,3,20,7.958239493,5.096536076
4,0,4,5,7.075885561,5.041577674
4,0,1,5,7.075885561,5.041574063
4,0,2,5,7.075885561,5.041577674
4,0,3,5,7.075885561,5.041577674
4,0,4,50,8.900257005,5.101620629
4,0,1,50,8.900257005,5.101620629
3,1,3,100,9.965784285,5.066154451
4,0,2,50,8.900257005,5.101620629
4,0,3,50,8.900257005,5.101620629
5,1,4,1,6.951937423,4.79503586
5,1,1,1,6.9502351,4.792766697
5,1,2,1,6.951937423,4.79503586
5,1,3,1,6.951937423,4.79503586
5,1,4,10,7.578983985,5.093914226
5,1,1,10,7.578999076,5.093870967
5,1,2,10,7.578983985,5.093912551
5,1,3,10,7.578983985,5.093914276
3,1,4,2,7.881933754,4.679288806
5,1,4,100,9.766851864,5.117965171
5,1,1,100,9.766851864,5.117965171
5,1,2,100,9.766851864,5.117965171
5,1,3,100,9.766851864,5.117965171
5,1,4,2,7.035667894,4.953555274
5,1,1,2,7.035777848,4.952769374
5,1,2,2,7.035667894,4.953555274
5,1,3,2,7.035667894,4.953555274
5,1,4,20,8.059182199,5.107607992
5,1,1,20,8.059182199,5.107607992
3,1,1,2,7.882967008,4.667403539
5,1,2,20,8.059182199,5.107607992
5,1,3,20,8.059182199,5.107607992
5,1,4,5,7.2638701,5.058114363
5,1,1,5,7.263907648,5.057963691
5,1,2,5,7.2638701,5.058114363
5,1,3,5,7.2638701,5.058114363
5,1,4,50,8.947271652,5.114503927
5,1,1,50,8.947271652,5.114503927
5,1,2,50,8.947271652,5.114503927
5,1,3,50,8.947271652,5.114503927
3,1,2,2,7.881933754,4.679288806
5,0,4,1,6.415403762,4.837142461
5,0,1,1,6.415403762,4.83712609
5,0,2,1,6.415403762,4.837142461
5,0,3,1,6.415403762,4.837142461
5,0,4,10,7.256642729,5.099033291
5,0,1,10,7.256642729,5.099033588
5,0,2,10,7.256642729,5.099031659
5,0,3,10,7.256642729,5.09903161
5,0,4,100,9.702370112,5.117968127
5,0,1,100,9.702370112,5.117968127
3,1,3,2,7.881933754,4.679288806
5,0,2,100,9.702370112,5.117968127
5,0,3,100,9.702370112,5.117968127
5,0,4,2,6.536861081,4.97692226
5,0,1,2,6.536876618,4.976903632
5,0,2,2,6.536861081,4.97692226
5,0,3,2,6.536861081,4.97692226
5,0,4,20,7.834932386,5.110228707
5,0,1,20,7.834932386,5.110228707
5,0,2,20,7.834932386,5.110228707
5,0,3,20,7.834932386,5.110228707
3,1,4,20,8.548710187,5.046250314
5,0,4,5,6.849711592,5.068121424
5,0,1,5,6.849711592,5.068119779
5,0,2,5,6.849711592,5.068121424
5,0,3,5,6.849711592,5.068121424
5,0,4,50,8.830730684,5.115372185
5,0,1,50,8.830730684,5.115372185
5,0,2,50,8.830730684,5.115372185
5,0,3,50,8.830730684,5.115372185
6,1,4,1,6.771370616,4.850979895
6,1,1,1,6.771397028,4.850638689
3,1,1,20,8.548710187,5.046250314
6,1,2,1,6.771370616,4.850979895
6,1,3,1,6.771370616,4.850979895
6,1,4,10,7.466488455,5.097368445
6,1,1,10,7.466488455,5.097367013
6,1,2,10,7.466488455,5.097368445
6,1,3,10,7.466488455,5.097368445
6,1,4,100,9.740247934,5.121424796
6,1,1,100,9.740247934,5.121424796
6,1,2,100,9.740247934,5.121424796
6,1,3,100,9.740247934,5.121424796
3,1,2,20,8.548710187,5.046250314
6,1,4,2,6.867241668,4.983829961
6,1,1,2,6.867254025,4.983722136
6,1,2,2,6.867241668,4.983829961
6,1,3,2,6.867241668,4.983829961
6,1,4,20,7.978390142,5.111081381
6,1,1,20,7.978390142,5.111081381
6,1,2,20,7.978390142,5.111081381
6,1,3,20,7.978390142,5.111081381
6,1,4,5,7.121688916,5.0697917
6,1,1,5,7.121699275,5.069765971
3,1,3,20,8.548710187,5.046250314
6,1,2,5,7.121688916,5.0697917
6,1,3,5,7.121688916,5.0697917
6,1,4,50,8.902718788,5.117955552
6,1,1,50,8.902718788,5.117955552
6,1,2,50,8.902718788,5.117955552
6,1,3,50,8.902718788,5.117955552
6,0,4,1,6.24014257,4.894785504
6,0,1,1,6.24014257,4.89476559
6,0,2,1,6.24014257,4.894785504
6,0,3,1,6.24014257,4.894785504
3,1,2,1,7.835102979,4.33936051
3,1,4,5,8.014260434,4.927881398
6,0,4,10,7.162582668,5.102447958
6,0,1,10,7.162582668,5.102447958
6,0,2,10,7.162582668,5.102447958
6,0,3,10,7.162582668,5.102447958
6,0,4,100,9.682815552,5.121427207
6,0,1,100,9.682815552,5.121427207
6,0,2,100,9.682815552,5.121427207
6,0,3,100,9.682815552,5.121427207
6,0,4,2,6.376724488,5.00769312
6,0,1,2,6.376724488,5.007683559
3,1,1,5,8.014701195,4.925247532
6,0,2,2,6.376724488,5.00769312
6,0,3,2,6.376724488,5.00769312
6,0,4,20,7.772288178,5.11366646
6,0,1,20,7.772288178,5.11366646
6,0,2,20,7.772288178,5.11366646
6,0,3,20,7.772288178,5.11366646
6,0,4,5,6.722670938,5.07987808
6,0,1,5,6.722670938,5.079876372
6,0,2,5,6.722670938,5.07987808
6,0,3,5,6.722670938,5.07987808
3,1,2,5,8.014260434,4.927881398
6,0,4,50,8.797687462,5.118824889
6,0,1,50,8.797687462,5.118824889
6,0,2,50,8.797687462,5.118824889
6,0,3,50,8.797687462,5.118824889
7,1,1,1,6.673217192,4.878722314
7,1,2,1,6.673217192,4.878750454
7,1,3,1,6.673217192,4.878750454
7,1,1,10,7.408083432,5.099070723
3,1,3,5,8.014260434,4.927881398
7,1,2,10,7.408083432,5.099070723
7,1,3,10,7.408083432,5.099070723
7,1,1,100,9.726829514,5.123157473
7,1,2,100,9.726829514,5.123157473
7,1,3,100,9.726829514,5.123157473
7,1,1,2,6.775695869,4.998368761
7,1,2,2,6.775695869,4.998378999
7,1,3,2,6.775695869,4.998378999
3,1,4,50,9.251482411,5.059483872
7,1,1,20,7.937150152,5.112800375
7,1,2,20,7.937150152,5.112800375
7,1,3,20,7.937150152,5.112800375
7,1,1,5,7.04617453,5.073143505
7,1,2,5,7.04617453,5.07314603
7,1,3,5,7.04617453,5.07314603
7,1,1,50,8.880039571,5.119684617
3,1,1,50,9.251482411,5.059483872
7,1,2,50,8.880039571,5.119684617
7,1,3,50,8.880039571,5.119684617
7,0,1,1,6.144515496,4.923426501
7,0,2,1,6.144515496,4.923426501
7,0,1,10,7.113783832,5.104157682
7,0,2,10,7.113783832,5.104157682
3,1,2,50,9.251482411,5.059483872
7,0,1,100,9.672985692,5.123159887
7,0,2,100,9.672985692,5.123159887
7,0,1,2,6.290129465,5.022484651
7,0,2,2,6.290129465,5.022484651
7,0,1,20,7.739753612,5.115354732
3,1,3,50,9.251482411,5.059483872
7,0,2,20,7.739753612,5.115354732
7,0,1,5,6.656067274,5.083255384
7,0,2,5,6.656067274,5.083255384
7,0,1,50,8.780969477,5.120554394
7,0,2,50,8.780969477,5.120554394
3,0,4,1,7.285531686,4.401580549
3,0,1,1,7.28555018,4.401360964
3,1,3,1,7.835102979,4.33936051
3,0,2,1,7.285531686,4.401580549
3,0,3,1,7.285531686,4.401580549
3,0,4,10,7.807606084,5.029859649
3,0,1,10,7.807606084,5.029864975
3,0,2,10,7.807606084,5.029864975
3,0,3,10,7.807606084,5.029858801
3,0,4,100,9.858304322,5.066162087
3,0,1,100,9.858304322,5.066162087
3,0,2,100,9.858304322,5.066162087
3,0,3,100,9.858304322,5.066162087
3,1,4,10,8.211260476,5.020146292
3,0,4,2,7.353587949,4.71815563
3,0,1,2,7.353605591,4.718020678
3,0,2,2,7.353587949,4.71815563
3,0,3,2,7.353587949,4.71815563
3,0,4,20,8.239068608,5.051194744
3,0,1,20,8.239068608,5.051194744
3,0,2,20,8.239068608,5.051194744
3,0,3,20,8.239068608,5.051194744
3,0,4,5,7.540786742,4.946186618
3,0,1,5,7.540786742,4.946184483
3,1,1,10,8.211464912,5.019398421
3,0,2,5,7.540786742,4.946186618
3,0,3,5,7.540786742,4.946186618
3,0,4,50,9.069460509,5.061161897
3,0,1,50,9.069460509,5.061161897
3,0,2,50,9.069460509,5.061161897
3,0,3,50,9.069460509,5.061161897
4,1,4,1,7.254650728,4.68779634
4,1,1,1,7.255406313,4.676592316
4,1,2,1,7.254650728,4.68779634
4,1,3,1,7.254650728,4.68779634
3,1,2,10,8.211265344,5.02012911
4,1,4,10,7.782709969,5.080353221
4,1,1,10,7.782782034,5.080145742
4,1,2,10,7.782709969,5.080357077
4,1,3,10,7.782709969,5.08035737
4,1,4,100,9.824529208,5.104190483
4,1,1,100,9.824529208,5.104190483
4,1,2,100,9.824529208,5.104190483
4,1,3,100,9.824529208,5.104190483
4,1,4,2,7.32378437,4.892895336
4,1,1,2,7.324189549,4.889213047
3,1,3,10,8.211260476,5.020135758
4,1,2,2,7.32378437,4.892895336
4,1,3,2,7.32378437,4.892895336
4,1,4,20,8.21162552,5.093925707
4,1,1,20,8.21162552,5.093925707
4,1,2,20,8.21162552,5.093925707
4,1,3,20,8.21162552,5.093925707
4,1,4,5,7.513253856,5.031756014
4,1,1,5,7.513411787,5.031031867
4,1,2,5,7.513253856,5.031756014
4,1,3,5,7.513253856,5.031756014
3,1,4,100,9.965784285,5.066154451
4,1,4,50,9.037629313,5.100760951
4,1,1,50,9.037629313,5.100760951
4,1,2,50,9.037629313,5.100760951
4,1,3,50,9.037629313,5.100760951
4,0,4,1,6.713324647,4.726992878
4,0,1,1,6.713338396,4.726862484
4,0,2,1,6.713324647,4.726992878
4,0,3,1,6.713324647,4.726992917
4,0,4,10,7.429866991,5.085425876
4,0,1,10,7.429866991,5.085429501
3,1,1,100,9.965784285,5.066154451
4,0,2,10,7.429866991,5.085422986
4,0,3,10,7.429866991,5.085429403
4,0,4,100,9.746890481,5.104194403
4,0,1,100,9.746890481,5.104194403
4,0,2,100,9.746890481,5.104194403
4,0,3,100,9.746890481,5.104194403
4,0,4,2,6.812883235,4.915289944
4,0,1,2,6.812883235,4.915280585
4,0,2,2,6.812883235,4.915289944
4,0,3,2,6.812883235,4.915289944
